label,tweet
1,"LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen."
1,"Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho"
1,"Lil_Mike_12: Fuck twerking bitch can you cook ?"""
1,"Linniekravitz:  bitch wtf"" http://t.co/DaSmycxODB"
1,"pe_the_Great: &#8220; "" Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now"
1,"LolaaIsDope: Lmao fucking snake bitches"" @ em"
1,"Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;"
2,"MLBNetwork: Stay tuned to  for an update on the report that  1B  will be out 8-10 weeks""  #bum"
2,"Rad: &#8220; ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao"""
1,"MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT"
1,"MannyDiesel: Def not cowboy lol   Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
0,"MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
1,"Master11_:   How could u do this to me bitch"" potent"
2,"MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
2,"MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles"
2,"MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches."
1,"MegamindNick:  nah fam I gotta cheat with the hoes"" depends on the female i feel"
2,"Mesha_nojas:  &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol"
1,"Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch"
1,"Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
1,"ikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!"
1,"MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*"
1,"Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody."
2,"MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate"
1,"ckFadden: ""Stay beautiful you bitch"""""
1,"CKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
1,"NastyCopper: Money getting taller and bitches getting blurry"""
1,"NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;"
1,"Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP""  I meant to do this one. Smh."
0,"ChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"
1,"No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol"
0,"NotoriousBM95:  Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
2,"OSAY_it_aint_so: &#8220; Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf"
1,"fficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
1,"RAYINGFORHEAD: &#8220; Stop bringing weird niggers into my mentions!  http://t.co/cussDJesRK"""
1,"PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;"""
1,"atrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
1,"tsfanjoe32:  I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
1,"PoemsPorn: Quote this tweet with your favorite animal.""pussy"
1,"tic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
1,"Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh"
1,"obie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;"""""
1,"ProdsJewel_: &#8220; &#8220;  Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!"
2,"QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
1,"QUAN1T0: These bitches don't care they just play that role."""
1,"Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
 dis bitch in da wrong tree bro."
0,"NBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag"
2,"hieSoul:  inna di ghetto!!!"" You alone lmaoo"
2,"RamBoutIt: &#8220;   hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know"
1,"eachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
1,"RenegadeMo: Fat hoes get chose"" lol"
1,"RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
1,"RishaaWilliams:   ol bitch ass"" http://t.co/AmcOinY0wG"
1,"RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
1,"SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
1,"SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"
1,"mirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
1,"SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't"
1,"aa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
1,"ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;"""
1,"SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real"
1,"ShowArrive: Side hoes are for insecure niggas that can't handle a real one."""
1,"un_stokes: &#128514;&#128514;&#128514;&#128514;  Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"
1,"Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"""
1,"SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;"
1,"SmeegBaby: Dese hoes be LYIN to all of us nigga"""
1,"SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
2,"SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
2,"SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch"
1,"ellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
2,"Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad"
1,"Strap__: I ain't sharing no bitch if you mines you mines &#128175;"""
1,"SukMySweetness: money only impress the simple broke bitches"""
1,"Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
2,"TEE_JONEZ:   tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;"
2,"EE_JONEZ:   I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;"
1,"TayKnosBest: These hoes is crazy"""
1,"Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:"
1,"ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch."
1,"TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
1,"TheNewSAT: #NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
"
1,"TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
1,"TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
1,"TheRealRickyB21:   y'all come through the front.""bitch I ain't coming"
1,"TheRealRickyB21:  faggot bitch"" http://t.co/2HyyAbk4eH"
1,"The_Realist_Sam:  yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up  work 2-5"
2,"Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it"
0,"TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger"
1,"TheoMaxximus: Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI"
1,"Thornton25: &#8220; I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever."
1,"acc_GFG: &#8220; "" &#8220; No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;&#8221;them hoes taste like meds""&#127815;&#127815;&#127868;"
1,"Tmacc_GFG: &#8220; No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;"
1,"Tmacc_GFG: BOBBY BITCH-by  be getting me live as fuck"" hell yea i play that hoe before my workout"
1,"TreLeKidd: Yo bitch is Gucci Mane   : My bitch a stoner &#128175;&#128175; http://t.co/lt9LIJjpg9""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;"
1,"TweetGameLazy: I can ride your bitch with no handle bars"""
1,"TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee"""
2,"UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man"
1,"Holy_Jack: These harbor bitches are all ""Party Bus hoes"""" Lol all?"
1,"Vbomb20:  pussy"" love it"
1,"eronikaHumbert: Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http://t.co/533fLbvWqh"" 

bitchy promo"
1,"VineForTheByrd: On my way to fuck your bitch https://t.co/4lMTFNL2iy""

LMFAO KITTYCOPTER"
2,"UR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd"""
1,"eezy_: "" Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0"" &#128128;&#128128;&#128128;"" do I gotta get Ike avi on this bitch ?"
1,"eezy_: "" Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?"
1,"WannabeKanye: whys this bitch boosting herself http://t.co/uOd2f5WtKV""

Her size isn't exactly the most healthy tho"
1,"aPrettyface:  bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!"
1,"X_XPDOTJDOT: Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"
1,"XoJennyGirl: I'm making marack my girlfriend .""  aye b you pullin hoes just like o taught you"
1,"XoXo__Angiee: Bruno fag boy"" you love me."
1,"YEHits_Von: &#8220; I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw"" This why we always beefing &#128514;"
2,"Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
1,"YoungRicooo: &#8220; Don't take advantage of a nice person&#8221;@ hoes""@ everyjuan"
1,YoungRicooo: Happy birthday bitch nigga  Thanks pal
1,"YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
1,"YunGMiGo:  cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"
1,"ZoeBarton3:  ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;"
1,"_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."
1,"_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say."
1,"_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week"
1,"_TommyCollins:   yeah Texans are so much better you fucking retard"" I see that you're mad about this."
1,"_MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here"
1,"__Sugga: There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;"
1,"__sneakyb: I hate when boys deny that they have bitches &#128080;&#128553;"" smh"
1,"taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
1,"__youreWelcome: Im a boss ass bitch"" ...that needs to sit in a corner"
1,"_iwantfranny: He's a hoe , I can't"""
1,"_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets"
1,"_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;"""
1,"_simplycaitlin: why do my friends hate me"" because you a ratchet hoe.."
1,"adriwadrri: No love for these fuck niggas"" hoes*"
1,"airmaxlad1: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers."
